请问您的性别是？,您所在的城市属于哪个省（直辖市/自治区/特区）？,请问您的出生年代是？,请问您的学历是？,请问您是否有海外留学经历？（以学习为目的，在国外停留超过1个月）,请问未来1-3年内，您是否有留学或继续深造计划？（多选）,您是否考虑线上教学的方式继续深造？,请问您属于以下哪种身份？,请问您所从事的行业是？,请问您在单位的岗位职能是？,关于汽车，请问以下哪个描述符合您的情况？,请问您拥有什么类型的汽车？,请问您购买的车型品牌是？,请问您购买汽车的价格是在什么范围？（如果拥有多辆车，请以价格最高的一辆车为准）,请问您未来1年内是否有购置汽车的计划？,请问您对新能源纯电动汽车的尝试意愿如何？,请问您更愿意尝试以下哪个品牌的新能源纯电动汽车？,请问您和您家人每年旅行消费支出是（排除疫情年度影响）？,请问您常规每年开展几次出境游（排除疫情年度影响，个人+商务旅行）,请问在订购机票时，您一般选择什么舱位？,请问您在选择酒店时，通常预定什么等级的酒店？（最多选择两项）,请问您在选择酒店时，通常每个房间每晚消费多少？,请问您购买过哪些品类的奢侈品？（多选）,请问您购买奢侈品的主要用途是？（多选）,请问您拥有几块机械腕表类的奢侈品?,请问您拥有几件珠宝类的奢侈品?,请问您拥有几件包/鞋/服饰类的奢侈品？,请问您购买奢侈品时的考虑因素有哪些？（多选）,请问您对以下哪些品牌的腕表感兴趣？（多选）,请问您拥有何种品牌的机械腕表？（如有多块儿腕表，请多选）,请问您购买这块机械腕表的花费是多少？（若您有多块机械腕表，则填写最贵的那块机械腕表价格）,请问您未来是否会考虑购买机械腕表，计划在多长时间内购买机械腕表？,请问您计划花多少钱来购买机械腕表？,请问您用过哪些彩妆及肤护品？或者您购买过哪些送人？（多选）,请问您或您的家庭在未来1年内计划购买以下哪些电子产品？（多选）,请问您新购/更换手机的频率是？,请问您在购买手机时，主要考虑因素有哪些？（多选）,请问您的婚姻状况是？,请问您目前的家庭情况是？,请问您的子女处在哪个人生阶段？(如您有2个及以上孩子请多选),请问您是否有宠物？,请问您每个月在宠物身上的平均花费是多少？,请问您过去一年的个人平均月收入范围是？（包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您的家庭平均税前月收入范围是？（如未婚则仅包含个人；包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您消费占比最高的三项是？,在闲暇时，您主要的消遣方式有哪些？（多选）,请问您平均每月网购次数？,请问您平均每月网购总金额范围？,请问您在消费时更看重以下哪点？,请问您经常使用的网购平台是？（多选）,请问您在消费时，是否容易受到他人影响？,设备,作答时长
女,宁夏,70后（70-79年出生）,大学本科,否,"[""none""]",否,企业职员,邮电通信,人事/行政/财务,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""大众""]",拒绝回答,,非常愿意尝试,荣威,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""none""]",,,,,,"[""欧米茄OMEGA""]",,,不打算购买,,"[""none""]","[""手机""]",平均3年以上购买1部手机,"[""品牌""]",不方便透露,,"[""none""]",猫、狗都有,"1,000元以下",none,,"[""日用品消费"",""餐饮消费"",""其他""]","[""读书"",""电影、连续剧""]",1-5次,"3,000元以下",实用性强,"[""淘宝/天猫"",""抖音快手""]",否,android,328
男,安徽,00后（2000年以后出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,零跑,"10,000元及以下",很少,头等舱,"[""三星级/舒适型""]",不确定,"[""鞋"",""服饰""]","[""自用""]",,,5件以上,"[""款式/颜色"",""保值/收藏价值"",""品牌""]","[""宝玑BREGUET""]","[""天梭TISSOT""]",,1-2年,1万元以下,"[""欧莱雅"",""迪奥Dior"",""香奈儿CHANEL"",""雅诗兰黛Estee Lauder"",""乔治阿玛尼Giorgio Armani"",""SK-II"",""other"",""阿玛尼""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）"",""游戏机""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""操作系统""]",未婚,,,猫,"1,000元以下",,,"[""服饰消费"",""餐饮消费"",""智能产品消费、电子产品消费""]","[""朋友聚会、咖啡吧、酒吧、live house等"",""玩游戏"",""兴趣养成或技能提升类的活动/课程"",""郊游/周边游""]",1-5次,"3,000元以下",性价比高,"[""得物"",""京东"",""苏宁易购""]",是,android,356
男,湖南,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""浪琴LONGINES"",""百达翡丽PATEK PHILIPPE"",""天梭TISSOT"",""宝格丽BVLGARI"",""香奈儿CHANEL"",""劳力士ROLEX"",""卡地亚CARTIER"",""欧米茄OMEGA""]",,,不确定,,"[""none""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均2-3年购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用""]",未婚,,,无,,,,"[""餐饮消费"",""学习消费"",""日用品消费""]","[""玩游戏"",""电影、连续剧"",""健身、各类运动""]",6-10次,"3,000元以下",实用性强,"[""京东"",""得物"",""淘宝/天猫""]",是,android,150
男,上海,70后（70-79年出生）,大学本科,否,"[""none""]",否,创始人/私营业主,房地产/建筑业,,有2辆及以上汽车,"[""SUV（比如途观、奔驰GLK等）"",""普通轿车（两厢、三厢）"",""新能源车""]","[""宝马"",""保时捷""]",50-100万元,,比较愿意尝试,理想ONE,"50,001-80,000元",1-2次,经济舱,"[""五星级/豪华型""]",不确定,"[""机械腕表""]","[""自用""]",2块,,,"[""品牌"",""价格"",""实用"",""质量""]","[""劳力士ROLEX"",""卡地亚CARTIER"",""百达翡丽PATEK PHILIPPE"",""宝玑BREGUET""]","[""劳力士ROLEX""]",拒绝回答,1-2年,5万-10万元,"[""none""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""价格"",""功能"",""售后服务""]",已婚,有一个孩子,"[""高中""]",狗,"1,000-3,000元",none,none,"[""汽车相关消费（私家车）"",""学习消费"",""旅游消费""]","[""健身、各类运动"",""电影、连续剧"",""郊游/周边游""]",10次以上,"5,000～10,000元",性价比高,"[""淘宝/天猫"",""京东""]",否,android,329
男,河南,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""香奈儿CHANEL"",""江诗丹顿VACHERON CONSTANTIN""]",,,不确定,,"[""欧莱雅""]","[""学习设备""]",平均2-3年购买1部手机,"[""品牌"",""外观/造型"",""性能/配置"",""价格""]",未婚,,,无,,,,"[""学习消费"",""日用品消费"",""餐饮消费""]","[""玩游戏""]",1-5次,"3,000元以下",性价比高,"[""淘宝/天猫"",""京东"",""拼多多"",""唯品会""]",否,android,335
男,山东,70后（70-79年出生）,高中及以下,否,"[""none""]",是,创始人/私营业主,食品/餐饮,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""大众""]",20万元以下,,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁"",""民宿/公寓""]",不确定,"[""none""]",,,,,,"[""宝玑BREGUET""]",,,不确定,,"[""none""]","[""手机""]",平均1-2年购买1部手机,"[""性能/配置"",""操作系统"",""价格""]",已婚,有两个及以上孩子,"[""大学/研究生"",""高中""]",猫,"1,000元以下","10,001-30,000元","20,001-50,000元","[""学习消费"",""日用品消费"",""汽车相关消费（私家车）""]","[""读书"",""电影、连续剧""]",1-5次,"3,000～5,000元",质量品质,"[""京东"",""拼多多"",""淘宝/天猫""]",否,android,458
女,广东,70后（70-79年出生）,大学专科,否,"[""none""]",是,自由职业者,健康/医疗服务,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""宝马""]",20万元以下,,比较愿意尝试,特斯拉,"10,000元及以下",1-2次,经济舱,"[""民宿/公寓"",""四星级/高档型""]",800元以下/晚,"[""机械腕表""]","[""自用""]",1块,,,"[""品牌"",""质量"",""款式/颜色""]","[""卡地亚CARTIER"",""百达翡丽PATEK PHILIPPE"",""欧米茄OMEGA""]","[""浪琴LONGINES""]",1万元以下,3年以上,3万-5万元,"[""圣罗兰YSL"",""SK-II"",""植村秀"",""纪梵希Givenchy"",""Sisley"",""雅诗兰黛Estee Lauder""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""价格"",""外观/造型""]",已婚,有两个及以上孩子,"[""小学"",""高中""]",无,,"10,000元以下","50,001-10,0000元","[""育儿消费"",""学习消费"",""汽车相关消费（私家车）""]","[""逛商场、购物"",""郊游/周边游"",""电影、连续剧""]",10次以上,"3,000～5,000元",质量品质,"[""淘宝/天猫"",""拼多多""]",是,android,599
女,广东,00后（2000年以后出生）,大学本科,否,"[""none""]",否,学生,,,没有汽车,,,,暂时无购车计划,不愿意尝试,,"10,000元及以下",很少,经济舱,"[""青年旅社"",""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""百达翡丽PATEK PHILIPPE"",""香奈儿CHANEL"",""卡地亚CARTIER""]",,,不打算购买,,"[""迪奥Dior"",""other"",""完美日记，小红莓，科颜氏，曼秀雷敦""]","[""电脑整机（笔记本、一体机、平板电脑等）"",""手机""]",平均2-3年购买1部手机,"[""性能/配置"",""价格"",""品牌""]",未婚,,,无,,,,"[""日用品消费"",""餐饮消费"",""服饰消费""]","[""看展、逛市集"",""电影、连续剧"",""读书"",""other"",""绘画，刷红板报""]",6-10次,"3,000元以下",性价比高,"[""淘宝/天猫"",""拼多多""]",是,android,624
女,广东,00后（2000年以后出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证""]",否,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,蔚来,"10,000元及以下",3-5次,经济舱,"[""经济型/快捷型连锁"",""民宿/公寓""]",800元以下/晚,"[""鞋"",""服饰""]","[""自用""]",,,2件,"[""折扣/优惠"",""款式/颜色"",""质量""]","[""宝格丽BVLGARI"",""万宝龙MONTBLANC"",""卡地亚CARTIER"",""百达翡丽PATEK PHILIPPE""]","[""other"",""无""]",,不打算购买,,"[""海蓝之谜La Mer"",""资生堂"",""植村秀""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型""]",未婚,,,无,,,,"[""餐饮消费"",""旅游消费"",""日用品消费""]","[""郊游/周边游"",""看展、逛市集"",""逛商场、购物"",""朋友聚会、咖啡吧、酒吧、live house等""]",6-10次,"3,000元以下",性价比高,"[""拼多多"",""小红书"",""淘宝/天猫""]",是,android,325
男,北京,85后（85-89年出生）,硕士/MBA,否,"[""none""]",否,企业中层管理人员,广告/公关/媒体,战略/企划,没有汽车,,,,暂时无购车计划,不愿意尝试,,"10,000元及以下",1-2次,经济舱,"[""三星级/舒适型""]",800元以下/晚,"[""包"",""机械腕表""]","[""自用"",""送人""]",1块,,3-4件,"[""实用"",""款式/颜色"",""品牌"",""质量""]","[""天梭TISSOT"",""万国IWC"",""浪琴LONGINES""]","[""天梭TISSOT"",""万国IWC""]",3万-5万元,不确定,,"[""兰蔻Lancome""]","[""摄影摄像（数码相机、单反相机、摄像机等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1年以内购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统"",""other"",""有意思""]",不方便透露,,,无,,none,,"[""旅游消费"",""智能产品消费、电子产品消费"",""餐饮消费""]","[""电影、连续剧"",""话剧、戏剧、脱口秀等"",""读书"",""朋友聚会、咖啡吧、酒吧、live house等"",""逛商场、购物"",""玩游戏"",""看展、逛市集"",""健身、各类运动"",""郊游/周边游"",""兴趣养成或技能提升类的活动/课程""]",1-5次,"3,000元以下",质量品质,"[""京东""]",是,android,564
女,重庆,00后（2000年以后出生）,高中及以下,否,"[""在国内申请研究生"",""在国内接受职业技能培训或考取职业资格证""]",是,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,北汽新能源,"10,001-30,000元",很少,经济舱,"[""民宿/公寓"",""青年旅社""]",800元以下/晚,"[""none""]",,,,,,"[""宇舶HUBLOT"",""香奈儿CHANEL"",""欧米茄OMEGA""]",,,不打算购买,,"[""none""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""学习设备"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均2-3年购买1部手机,"[""性能/配置"",""外观/造型"",""质量/耐用"",""口碑"",""操作系统"",""功能"",""价格""]",未婚,,,无,,,,"[""学习消费"",""日用品消费"",""服饰消费""]","[""电影、连续剧"",""健身、各类运动"",""读书""]",1-5次,"3,000元以下",性价比高,"[""拼多多"",""淘宝/天猫""]",是,android,388
男,北京,70后（70-79年出生）,大学本科,否,"[""none""]",否,企业中层管理人员,电商/零售/贸易,销售,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""其他日韩品牌""]",20-50万元,,比较愿意尝试,特斯拉,"10,001-30,000元",1-2次,经济舱,"[""经济型/快捷型连锁"",""民宿/公寓""]",800元以下/晚,"[""机械腕表""]","[""自用""]",2块,,,"[""折扣/优惠"",""品牌"",""质量"",""保值/收藏价值"",""实用""]","[""万国IWC"",""宝玑BREGUET"",""宝珀BLANCPAIN"",""积家JAEGER-LECOULTRE"",""欧米茄OMEGA""]","[""欧米茄OMEGA""]",5万-10万元,不确定,,"[""欧莱雅"",""兰蔻Lancome"",""资生堂""]","[""手机"",""摄影摄像（数码相机、单反相机、摄像机等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""功能""]",已婚,有一个孩子,"[""高中""]",无,,"30,001-50,000元",none,"[""智能产品消费、电子产品消费"",""学习消费"",""旅游消费""]","[""读书"",""话剧、戏剧、脱口秀等"",""other"",""逛商场、购物"",""电影、连续剧"",""徒步""]",1-5次,"3,000元以下",性价比高,"[""京东"",""淘宝/天猫""]",否,android,395
